,level,order,adjacency_matrix,solution,nodes_to_traverse
0,1,11,"   A B C D E F G H I J K
 A 0 1 0 0 0 0 0 0 0 0 0
 B 1 0 1 0 0 0 0 0 0 0 0
 C 0 1 0 1 0 0 0 0 0 0 0
 D 0 0 1 0 1 0 0 0 0 0 0
 E 0 0 0 1 0 1 0 0 0 0 0
 F 0 0 0 0 1 0 1 0 0 0 0
 G 0 0 0 0 0 1 0 1 0 0 0
 H 0 0 0 0 0 0 1 0 1 0 0
 I 0 0 0 0 0 0 0 1 0 1 0
 J 0 0 0 0 0 0 0 0 1 0 1
 K 0 0 0 0 0 0 0 0 0 1 0",A -> B -> C -> D -> E -> F -> G -> H -> I -> J -> K,"('A', 'K')"
1,1,6,"   A B C D E F
 A 0 1 0 0 0 0
 B 1 0 1 0 0 0
 C 0 1 0 1 0 0
 D 0 0 1 0 1 0
 E 0 0 0 1 0 1
 F 0 0 0 0 1 0",A -> B -> C -> D -> E -> F,"('A', 'F')"
2,1,9,"   A B C D E F G H I
 A 0 1 0 0 0 0 0 0 0
 B 1 0 1 0 0 0 0 0 0
 C 0 1 0 1 0 0 0 0 0
 D 0 0 1 0 1 0 0 0 0
 E 0 0 0 1 0 1 0 0 0
 F 0 0 0 0 1 0 1 0 0
 G 0 0 0 0 0 1 0 1 0
 H 0 0 0 0 0 0 1 0 1
 I 0 0 0 0 0 0 0 1 0",A -> B -> C -> D -> E -> F -> G -> H -> I,"('A', 'I')"
3,2,15,"   A B C D E F G H I J K L M N O
 A 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
 B 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 C 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
 E 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 I 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 J 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 L 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 M 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0",A -> M -> N -> O,"('A', 'O')"
4,2,8,"   A B C D E F G H
 A 0 1 0 0 1 0 1 0
 B 1 0 1 1 0 0 0 0
 C 0 1 0 0 0 0 0 0
 D 0 1 0 0 0 0 0 0
 E 1 0 0 0 0 1 0 0
 F 0 0 0 0 1 0 0 0
 G 1 0 0 0 0 0 0 1
 H 0 0 0 0 0 0 1 0",A -> G -> H,"('A', 'H')"
5,2,15,"   A B C D E F G H I J K L M N O
 A 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0
 B 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 C 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 D 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 E 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 F 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
 G 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 J 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 K 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 L 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
 N 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0",A -> K -> M -> O,"('A', 'O')"
6,3,7,"   A B C D E F G H I
 A 0 1 0 0 0 0 0 1 0
 B 1 0 1 0 0 1 0 1 1
 C 0 1 0 1 0 0 0 0 0
 D 0 0 1 0 1 0 0 0 0
 E 0 0 0 1 0 0 0 0 0
 F 0 1 0 0 0 0 1 0 1
 G 0 0 0 0 0 1 0 0 0
 H 1 1 0 0 0 0 0 0 0
 I 0 1 0 0 0 1 0 0 0",A -> B -> F -> G,"('A', 'G')"
7,3,7,"   A B C D E F G H I J K
 A 0 1 1 0 0 0 0 1 0 0 0
 B 1 0 0 0 0 0 0 0 0 0 0
 C 1 0 0 1 1 0 0 0 0 0 0
 D 0 0 1 0 0 0 0 0 0 0 0
 E 0 0 1 0 0 1 1 0 0 0 1
 F 0 0 0 0 1 0 0 0 0 0 0
 G 0 0 0 0 1 0 0 0 0 1 1
 H 1 0 0 0 0 0 0 0 1 0 0
 I 0 0 0 0 0 0 0 1 0 1 0
 J 0 0 0 0 0 0 1 0 1 0 0
 K 0 0 0 0 1 0 1 0 0 0 0",A -> C -> E -> G,"('A', 'G')"
8,3,15,"   A B C D E F G H I J K L M N O P Q R S T U
 A 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 B 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 C 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 E 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 H 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
 J 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1
 L 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 P 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
 R 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
 S 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
 T 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 U 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0",A -> T -> U -> K -> N -> O,"('A', 'O')"
9,4,8,"   A B C D E F G H I J K L
 A 0 3 0 0 0 0 0 0 0 0 0 0
 B 3 0 4 0 0 0 0 0 3 2 3 3
 C 0 4 0 2 0 0 0 2 0 0 0 0
 D 0 0 2 0 1 1 0 0 0 0 0 0
 E 0 0 0 1 0 0 0 0 0 0 0 0
 F 0 0 0 1 0 0 3 0 0 0 0 0
 G 0 0 0 0 0 3 0 0 0 0 0 0
 H 0 0 2 0 0 0 0 0 0 0 0 0
 I 0 3 0 0 0 0 0 0 0 3 0 0
 J 0 2 0 0 0 0 0 0 3 0 0 0
 K 0 3 0 0 0 0 0 0 0 0 0 3
 L 0 3 0 0 0 0 0 0 0 0 3 0",A -> B -> C -> H,"('A', 'H')"
